"taxon_name","original_text","description","form","stem","leaf","flower","fruit","seed","root"
"Euphorbia davidii","Erect or ascending annual herb to c. 50 cm high; stems simple, or usually, many-branched, with scattered fine, semi-appressed to spreading bristles. Leaves mostly opposite toward base, but alternate in upper parts of the plant; petiole 7–25 mm long, shortly bristly; blade usually narrowly to broadly elliptic, c. 15–80 mm long, 5–32 mm wide, margins coarsely and irregularly crenate-dentate, recurved to flat, apex acute to obtuse, surfaces strigose; leaves surrounding cyathia similar to sterile leaves but usually smaller. Cyathia clustered, often head-like at tips of branchlets; peduncles 0.5–1 mm long; involucre cylindric, 2.5–3 mm long, glabrous, divided into 5–7 linear, papillate lobes; gland 1, c. 1 mm long, oblong, lacking appendages; female flowers with styles c. 1 mm long, bifid from half way or nearer base. Capsule broadly ovoid, c. 3 mm long, 4.5 mm diam., glabrous; seeds ovoid, angular in cross-section, c. 2.5–3 mm long, grey, brown or blackish, with low tubercles irregularly arranged or in transverse rows; caruncle c. 0.5 mm long. Flowers mostly Jan–Apr.","erect or ascending annual herb to circa 50 cm high; stems simple, or usually, many-branched, with scattered fine, semi-appressed to spreading bristles. leaves mostly opposite toward base, but alternate in upper parts of the plant; petiole 7–25 mm long, shortly bristly; blade usually narrowly to broadly elliptic, circa 15–80 mm long, 5–32 mm wide, margins coarsely and irregularly crenate-dentate, recurved to flat, apex acute to obtuse, surfaces strigose; leaves surrounding cyathia similar to sterile leaves but usually smaller. cyathia clustered, often head-like at tips of branchlets; peduncles 0.5–1 mm long; involucre cylindric, 2.5–3 mm long, glabrous, divided into 5–7 linear, papillate lobes; gland 1, circa 1 mm long, oblong, lacking appendages; female flowers with styles circa 1 mm long, bifid from half way or nearer base. capsule broadly ovoid, circa 3 mm long, 4.5 mm diam., glabrous; seeds ovoid, angular in cross-section, circa 2.5–3 mm long, grey, brown or blackish, with low tubercles irregularly arranged or in transverse rows; caruncle circa 0.5 mm long. flowers mostly jan–apr.","erect or ascending annual herb to circa 50 cm high;","stems simple, or usually, many-branched, with scattered fine, semi-appressed to spreading bristles.","leaves mostly opposite toward base, but alternate in upper parts of the plant; petiole 7–25 mm long, shortly bristly; blade usually narrowly to broadly elliptic, circa 15–80 mm long, 5–32 mm wide, margins coarsely and irregularly crenate-dentate, recurved to flat, apex acute to obtuse, surfaces strigose; leaves surrounding cyathia similar to sterile leaves but usually smaller.","cyathia clustered, often head-like at tips of branchlets; peduncles 0.5–1 mm long; involucre cylindric, 2.5–3 mm long, glabrous, divided into 5–7 linear, papillate lobes; gland 1, circa 1 mm long, oblong, lacking appendages; female flowers with styles circa 1 mm long, bifid from half way or nearer base. flowers mostly jan–apr.","capsule broadly ovoid, circa 3 mm long, 4.5 mm diam., glabrous;","seeds ovoid, angular in cross-section, circa 2.5–3 mm long, grey, brown or blackish, with low tubercles irregularly arranged or in transverse rows; caruncle circa 0.5 mm long.",
"Brachyscome ciliaris var. subintegrifolia","Erect, slender perennial herb, often many branched from a woody rootstock; stem and branches glabrous to moderately densely glandular hairy and pilose, particularly in leaf axils, decreasing in density downwards. Leaves to 3.2 cm long, usually glabrous, sometimes with sparse glandular and/or eglandular hairs, particularly near base and apex, usually entire or sometimes with 1–3 segments; segments linear, acute. Peduncles glabrous or with sparse glandular hairs. Involucral bracts ±glabrous or with sparse to dense sessile glands near base. Ligules 5–9 mm long, white or very pale mauve. Cypselas 1.7–2.5 mm long, with glandular hairs or glabrous on lateral faces; faces of ray cypselas often tuberculate; marginal wings present on disc florets, occasionally only developed near apex, ciliate with glandular hairs; pappus short barbellate hairs 0.1–0.4 mm high. Flowers Sep.–May.","erect, slender perennial herb, often many branched from a woody rootstock; stem and branches glabrous to moderately densely glandular hairy and pilose, particularly in leaf axils, decreasing in density downwards. leaves to 3.2 cm long, usually glabrous, sometimes with sparse glandular and/or eglandular hairs, particularly near base and apex, usually entire or sometimes with 1–3 segments; segments linear, acute. peduncles glabrous or with sparse glandular hairs. involucral bracts ±glabrous or with sparse to dense sessile glands near base. ligules 5–9 mm long, white or very pale mauve. cypselas 1.7–2.5 mm long, with glandular hairs or glabrous on lateral faces; faces of ray cypselas often tuberculate; marginal wings present on disc florets, occasionally only developed near apex, ciliate with glandular hairs; pappus short barbellate hairs 0.1–0.4 mm high. flowers sep.–may.","erect, slender perennial herb, often many branched from a woody rootstock;","stem and branches glabrous to moderately densely glandular hairy and pilose, particularly in leaf axils, decreasing in density downwards. segments linear, acute.","leaves to 3.2 cm long, usually glabrous, sometimes with sparse glandular and/or eglandular hairs, particularly near base and apex, usually entire or sometimes with 1–3 segments;","peduncles glabrous or with sparse glandular hairs. involucral bracts ±glabrous or with sparse to dense sessile glands near base. ligules 5–9 mm long, white or very pale mauve. marginal wings present on disc florets, occasionally only developed near apex, ciliate with glandular hairs; pappus short barbellate hairs 0.1–0.4 mm high. flowers sep.–may.","cypselas 1.7–2.5 mm long, with glandular hairs or glabrous on lateral faces; faces of ray cypselas often tuberculate;",,
"Glossocardia bidens","Few-branched, often almost leafless, c. glabrous perennial to c. 50 cm high. Basal leaves lanceolate to triangular in outline, 1–8 cm long, 0.5–3 cm wide, pinnatisect with narrow acute entire to pinnatifid lobes, green above, glaucous below; petiole 1–5 cm long; cauline leaves few, smaller, simple to pinnatifid, subsessile. Capitula 5–8 mm diam.; involucral bracts 2-seriate, c. equal, narrow-lanceolate, 3–4 mm long; receptacle scales slightly longer and narrower than inner involucral bracts. Ray florets 5–12; ligules 2–4 mm long, yellow; disc florets 7–12, bisexual, 4-lobed, yellow; anthers black. Cypselas linear-lanceolate, 5–8 mm long, compressed, ribbed, glabrous, dark brown; pappus of 2 straight diverging retrorsely barbed awns 1–3(–5) mm long. Flowers mostly summer and autumn.","few-branched, often almost leafless, circa glabrous perennial to circa 50 cm high. basal leaves lanceolate to triangular in outline, 1–8 cm long, 0.5–3 cm wide, pinnatisect with narrow acute entire to pinnatifid lobes, green above, glaucous below; petiole 1–5 cm long; cauline leaves few, smaller, simple to pinnatifid, subsessile. capitula 5–8 mm diam.; involucral bracts 2-seriate, circa equal, narrow-lanceolate, 3–4 mm long; receptacle scales slightly longer and narrower than inner involucral bracts. ray florets 5–12; ligules 2–4 mm long, yellow; disc florets 7–12, bisexual, 4-lobed, yellow; anthers black. cypselas linear-lanceolate, 5–8 mm long, compressed, ribbed, glabrous, dark brown; pappus of 2 straight diverging retrorsely barbed awns 1–3(–5) mm long. flowers mostly summer and autumn.","few-branched, often almost leafless, circa glabrous perennial to circa 50 cm high.",,"basal leaves lanceolate to triangular in outline, 1–8 cm long, 0.5–3 cm wide, pinnatisect with narrow acute entire to pinnatifid lobes, green above, glaucous below; petiole 1–5 cm long; cauline leaves few, smaller, simple to pinnatifid, subsessile.","capitula 5–8 mm diam.; involucral bracts 2-seriate, circa equal, narrow-lanceolate, 3–4 mm long; receptacle scales slightly longer and narrower than inner involucral bracts. ray florets 5–12; ligules 2–4 mm long, yellow; disc florets 7–12, bisexual, 4-lobed, yellow; anthers black. flowers mostly summer and autumn.","cypselas linear-lanceolate, 5–8 mm long, compressed, ribbed, glabrous, dark brown; pappus of 2 straight diverging retrorsely barbed awns 1–3(–5) mm long.",,
"Prasophyllum niphopedium","Flowering stem slender, 20–35 cm tall. Leaf-blade to 30 cm long and 5 mm diam. at base, apex lax. Flowers 10–20, greenish with pink to reddish markings, lightly fragrant, in a loose spike 7–12 cm long; ovary obovoid, to 4 mm long; sepals 6–8 mm long, dorsal sepal ovate, acute, lateral sepals free or shortly united at base, linear-lanceolate, acute, almost parallel; petals linear-lanceolate, 5–7 mm long, projecting forward, apex obtuse. Labellum on a short claw, trullate, 5–6 mm long, pinkish, recurved at right angle near middle, the lower margins incurved and smooth, upper margins crenulate; callus plate brown or green, much raised at the bend, channelled below, apex blunt and short, often wrinkled. Column appendages oblong, blunt, c. 2 mm long, pale green. Flowers Dec.–Feb.","floweringstem slender, 20–35 cm tall. leaf-blade to 30 cm long and 5 mm diam. at base, apex lax. flowers 10–20, greenish with pink to reddish markings, lightly fragrant, in a loose spike 7–12 cm long; ovary obovoid, to 4 mm long; sepals 6–8 mm long, dorsal sepal ovate, acute, lateral sepals free or shortly united at base, linear-lanceolate, acute, almost parallel; petals linear-lanceolate, 5–7 mm long, projecting forward, apex obtuse. labellum on a short claw, trullate, 5–6 mm long, pinkish, recurved at right angle near middle, the lower margins incurved and smooth, upper margins crenulate; callus plate brown or green, much raised at the bend, channelled below, apex blunt and short, often wrinkled. column appendages oblong, blunt, circa 2 mm long, pale green. flowers dec.–feb.",,"floweringstem slender, 20–35 cm tall.","leaf-blade to 30 cm long and 5 mm diam. at base, apex lax.","flowers 10–20, greenish with pink to reddish markings, lightly fragrant, in a loose spike 7–12 cm long; ovary obovoid, to 4 mm long; sepals 6–8 mm long, dorsal sepal ovate, acute, lateral sepals free or shortly united at base, linear-lanceolate, acute, almost parallel; petals linear-lanceolate, 5–7 mm long, projecting forward, apex obtuse. labellum on a short claw, trullate, 5–6 mm long, pinkish, recurved at right angle near middle, the lower margins incurved and smooth, upper margins crenulate; callus plate brown or green, much raised at the bend, channelled below, apex blunt and short, often wrinkled. column appendages oblong, blunt, circa 2 mm long, pale green. flowers dec.–feb.",,,
"Xerochrysum bracteatum","Annual (?to perennial), taprooted herb, 10–100 cm high; stems more or less erect, branched, glandular, with septate-papillose and/or arachnoid hairs. Leaves elliptic to linear, 3–12 cm long, 0.3–3.0 cm wide, with septate-papillose and/or arachnoid hairs, apex acute or mucronate. Capitula terminal, few to many in panicle-like or corymbose inflorescence, 1–5.5 cm diam.; outer involucral bracts obtuse, inner bracts acute, 0.5–2.0 cm long, golden-yellow, smooth, apex mucronate; florets yellow, female florets in a single outer series. Cypselas c. 3 mm long; pappus yellow, 5–9 mm long. Flowers all year (mostly spring).","annual (?to perennial), taprooted herb, 10–100 cm high; stems more or less erect, branched, glandular, with septate-papillose and/or arachnoid hairs. leaves elliptic to linear, 3–12 cm long, 0.3–3.0 cm wide, with septate-papillose and/or arachnoid hairs, apex acute or mucronate. capitula terminal, few to many in panicle-like or corymbose inflorescence, 1–5.5 cm diam.; outer involucral bracts obtuse, inner bracts acute, 0.5–2.0 cm long, golden-yellow, smooth, apex mucronate; florets yellow, female florets in a single outer series. cypselas circa 3 mm long; pappus yellow, 5–9 mm long. flowers all year (mostly spring).","annual (?to perennial), taprooted herb, 10–100 cm high;","stems more or less erect, branched, glandular, with septate-papillose and/or arachnoid hairs.","leaves elliptic to linear, 3–12 cm long, 0.3–3.0 cm wide, with septate-papillose and/or arachnoid hairs, apex acute or mucronate.","capitula terminal, few to many in panicle-like or corymbose inflorescence, 1–5.5 cm diam.; outer involucral bracts obtuse, inner bracts acute, 0.5–2.0 cm long, golden-yellow, smooth, apex mucronate; florets yellow, female florets in a single outer series. flowers all year (mostly spring).","cypselas circa 3 mm long; pappus yellow, 5–9 mm long.",,
"Eucalyptus leucoxylon subsp. leucoxylon","Tree to 25 m tall. Not waxy. Juvenile leaves to 10.5 cm long, 7 cm; adult leaves to 18.5 cm long, 2.5 cm wide; buds ovoid. Flowers creamy-white or pink. Fruit to 1.2 cm long, 1 cm diam.; valves 5(6); pedicel equal to or longer than fruit. Flowers winter–summer.","tree to 25 m tall. not waxy. juvenile leaves to 10.5 cm long, 7 cm; adult leaves to 18.5 cm long, 2.5 cm wide; buds ovoid. flowers creamy-white or pink. fruit to 1.2 cm long, 1 cm diam.; valves 5(6); pedicel equal to or longer than fruit. flowers winter–summer.","tree to 25 m tall. not waxy.",,"juvenile leaves to 10.5 cm long, 7 cm; adult leaves to 18.5 cm long, 2.5 cm wide; buds ovoid.","flowers creamy-white or pink. pedicel equal to or longer than fruit. flowers winter–summer.","fruit to 1.2 cm long, 1 cm diam.; valves 5(6);",,
"Grevillea patulifolia","Erect to trailing shrub 0.2–1.6(–2.5) m high, sometimes root-suckering. Leaves entire, narrowly elliptic to sublinear, straight, 1.5–3.5 cm long, 1–1.5 mm wide; upper surface of leaf faintly scabrous or granular especially along veins; margin angularly refracted at 120° or more relative to the distinctly convex upper surface (leaf obliquely elliptic in cross-section), usually enclosing the lower surface either side of midvein. Conflorescences c. 1 cm long, sessile, regular and umbel-like or rarely subsecund; perianth pale pink to mauve (occasionally white?), outer surface with appressed hairs, inner surface with a more or less profuse beard opposite the ovary; pistil 8–8.5 mm long, ovary stipitate, glabrous, style pink or white, with minute hairs or papillae just below apex, pollen presenter oblique. Fruits glabrous. Flowers Aug.–Feb.","erect to trailing shrub 0.2–1.6(–2.5) m high, sometimes root-suckering. leaves entire, narrowly elliptic to sublinear, straight, 1.5–3.5 cm long, 1–1.5 mm wide; upper surface of leaf faintly scabrous or granular especially along veins; margin angularly refracted at 120° or more relative to the distinctly convex upper surface (leaf obliquely elliptic in cross-section), usually enclosing the lower surface either side of midvein. conflorescences circa 1 cm long, sessile, regular and umbel-like or rarely subsecund; perianth pale pink to mauve (occasionally white?), outer surface with appressed hairs, inner surface with a more or less profuse beard opposite the ovary; pistil 8–8.5 mm long, ovary stipitate, glabrous, style pink or white, with minute hairs or papillae just below apex, pollen presenter oblique. fruits glabrous. flowers aug.–feb.","erect to trailing shrub 0.2–1.6(–2.5) m high, sometimes root-suckering.",,"leaves entire, narrowly elliptic to sublinear, straight, 1.5–3.5 cm long, 1–1.5 mm wide; upper surface of leaf faintly scabrous or granular especially along veins; margin angularly refracted at 120° or more relative to the distinctly convex upper surface (leaf obliquely elliptic in cross-section), usually enclosing the lower surface either side of midvein.","conflorescences circa 1 cm long, sessile, regular and umbel-like or rarely subsecund; perianth pale pink to mauve (occasionally white?), outer surface with appressed hairs, inner surface with a more or less profuse beard opposite the ovary; pistil 8–8.5 mm long, ovary stipitate, glabrous, style pink or white, with minute hairs or papillae just below apex, pollen presenter oblique. flowers aug.–feb.","fruits glabrous.",,
"Limosella","Small, glabrous, annual or possibly short-lived perennial herbs, often stoloniferous. Leaves usually radical by suppression of internodes, rarely opposite on new stolons, with a long slender petiole dilated at the base, and a small to large, palmately veined, entire, glandular-punctate blade shorter than, rarely equalling, the petiole. Flowers solitary in leaf-axils at base of plant, with bracts and bracteoles absent. Calyx-tube 5-angled, equally 5-toothed, or rarely in depauperate plants 3- or 4-merous; corolla more or less actinomorphic, campanulate, just exserted from the calyx, lobes 5, almost equal; stamens 4, anthers 1-locular; stigma obscurely 2-lobed, subcapitate. Capsule almost entirely surrounded by the enlarged persistent calyx, septum incomplete, absent in the upper half; seeds numerous, striate-reticulate.","small, glabrous, annual or possibly short-lived perennial herbs, often stoloniferous. leaves usually radical by suppression of internodes, rarely opposite on new stolons, with a long slender petiole dilated at the base, and a small to large, palmately veined, entire, glandular-punctate blade shorter than, rarely equalling, the petiole. flowers solitary in leaf-axils at base of plant, with bracts and bracteoles absent. calyx-tube 5-angled, equally 5-toothed, or rarely in depauperate plants 3- or 4-merous; corolla more or less actinomorphic, campanulate, just exserted from the calyx, lobes 5, almost equal; stamens 4, anthers 1-locular; stigma obscurely 2-lobed, subcapitate. capsule almost entirely surrounded by the enlarged persistent calyx, septum incomplete, absent in the upper half; seeds numerous, striate-reticulate.","small, glabrous, annual or possibly short-lived perennial herbs, often stoloniferous.",,"leaves usually radical by suppression of internodes, rarely opposite on new stolons, with a long slender petiole dilated at the base, and a small to large, palmately veined, entire, glandular-punctate blade shorter than, rarely equalling, the petiole.","flowers solitary in leaf-axils at base of plant, with bracts and bracteoles absent. calyx-tube 5-angled, equally 5-toothed, or rarely in depauperate plants 3- or 4-merous; corolla more or less actinomorphic, campanulate, just exserted from the calyx, lobes 5, almost equal; stamens 4, anthers 1-locular; stigma obscurely 2-lobed, subcapitate.","capsule almost entirely surrounded by the enlarged persistent calyx, septum incomplete, absent in the upper half;","seeds numerous, striate-reticulate.",
"Althenia","Annual or perennial herbs. Rhizomes much-branched bearing roots, scale leaves and erect leafy shoots at nodes. Leaves frequently crowded at distal end of branches; floral leaves apparently subopposite; sheath with auricles well-developed; lamina linear. Flowers pedicellate, initially enclosed in a leaf-sheath. Male flowers with pedicel very short initially, elongating considerably at anthesis and extending beyond the leaves; anther or anther mass sessile, and subtended by 3 minute scales or scales fused and cup-like. Female flowers with 3 membranous and persistent scales; ovule 1 per carpel; styles slender. Fruit with style persistent.","annual or perennial herbs. rhizomes much-branched bearing roots, scale leaves and erect leafy shoots at nodes. leaves frequently crowded at distal end of branches; floral leaves apparently subopposite; sheath with auricles well-developed; lamina linear. flowers pedicellate, initially enclosed in a leaf-sheath. male flowers with pedicel very short initially, elongating considerably at anthesis and extending beyond the leaves; anther or anther mass sessile, and subtended by 3 minute scales or scales fused and cup-like. female flowers with 3 membranous and persistent scales; ovule 1 per carpel; styles slender. fruit with style persistent.","annual or perennial herbs.",,"leaves frequently crowded at distal end of branches; lamina linear.","floral leaves apparently subopposite; sheath with auricles well-developed; flowers pedicellate, initially enclosed in a leaf-sheath. male flowers with pedicel very short initially, elongating considerably at anthesis and extending beyond the leaves; anther or anther mass sessile, and subtended by 3 minute scales or scales fused and cup-like. female flowers with 3 membranous and persistent scales; ovule 1 per carpel; styles slender.","fruit with style persistent.",,"rhizomes much-branched bearing roots, scale leaves and erect leafy shoots at nodes."
"Gastrolobium","Erect to prostrate shrubs; stems mostly pubescent. Leaves opposite, alternate or in whorls of 3 or 4; simple, entire, apex of pungent, margins flat, involute or slightly recurved, sessile or petiolate, venetation generally prominently reticulate; stipules usually present. Inflorescence axillary or terminal, racemose or reduced to single flowers; flowers sessile or shortly pedicellate; bracts generally caducous, occasionally persistent, nearly always scale-like, rarely leaf-like; bracteoles absent. Calyx 5-toothed, teeth usually subequal, imbricate, upper 2 usually united higher than the lower 3; petals clawed, usually yellow or orange, sometimes red, cream pale green or almost black; standard usually broader than long, emarginate, occasionally entire or acute; wings auriculate on the margin; keel lightly to strongly united, base auriculate, saccate; stamens free to base, anthers generally uniform, sometimes differing in size and shape; ovary sessile or stipitate, style incurved to hooked, stigma terminal, capitate; ovules 2–20. Pod more or less ovoid, hairy; seeds reniform to ellipsoid, arillate.","erect to prostrate shrubs; stems mostly pubescent. leaves opposite, alternate or in whorls of 3 or 4; simple, entire, apex of pungent, margins flat, involute or slightly recurved, sessile or petiolate, venetation generally prominently reticulate; stipules usually present. inflorescence axillary or terminal, racemose or reduced to single flowers; flowers sessile or shortly pedicellate; bracts generally caducous, occasionally persistent, nearly always scale-like, rarely leaf-like; bracteoles absent. calyx 5-toothed, teeth usually subequal, imbricate, upper 2 usually united higher than the lower 3; petals clawed, usually yellow or orange, sometimes red, cream pale green or almost black; standard usually broader than long, emarginate, occasionally entire or acute; wings auriculate on the margin; keel lightly to strongly united, base auriculate, saccate; stamens free to base, anthers generally uniform, sometimes differing in size and shape; ovary sessile or stipitate, style incurved to hooked, stigma terminal, capitate; ovules 2–20. pod more or less ovoid, hairy; seeds reniform to ellipsoid, arillate.","erect to prostrate shrubs;","stems mostly pubescent. stipules usually present.","leaves opposite, alternate or in whorls of 3 or 4; simple, entire, apex of pungent, margins flat, involute or slightly recurved, sessile or petiolate, venetation generally prominently reticulate;","inflorescence axillary or terminal, racemose or reduced to single flowers; flowers sessile or shortly pedicellate; bracts generally caducous, occasionally persistent, nearly always scale-like, rarely leaf-like; bracteoles absent. calyx 5-toothed, teeth usually subequal, imbricate, upper 2 usually united higher than the lower 3; petals clawed, usually yellow or orange, sometimes red, cream pale green or almost black; standard usually broader than long, emarginate, occasionally entire or acute; wings auriculate on the margin; keel lightly to strongly united, base auriculate, saccate; stamens free to base, anthers generally uniform, sometimes differing in size and shape; ovary sessile or stipitate, style incurved to hooked, stigma terminal, capitate; ovules 2–20.","pod more or less ovoid, hairy;","seeds reniform to ellipsoid, arillate.",
