taxon_name,description
Alopecurus pratensis subsp. pratensis,"Perennial, caespitose, rhizomatous. Culms erect, 20-110 cm high, not rooting at nodes. Leaves: ligule obtuse to trucate; blade 4-40 cm long, 2-8 (-14) mm wide. Panicles 2-8 cm long, to 10 mm wide. Spikelets 4-6.2 mm long. Glumes ± equalling lemma, (3.5-) 4-6.2 mm long, narrowly ovate to elliptic, acute, connate near base (in lower ¼), membranous, lacking keel-wing, with veins slightly prominent and green, the keel, veins and sometimes margins ± villous-ciliate. Lemma narrowly elliptic, with margins fused in lower …“, 4-6 mm long, entire, similar in firmness to glumes, 5-veined, with keel and sometimes margins puberulous towards apex; awn usually longer than lemma body, distinctly exserted, usually 6-10 mm long, attached near base or within lower …“ of lemma, (straight-) geniculate. Anthers 2-4 mm long."
Aristida benthamii,"Compactly tufted perennials. Culms 50-90 cm high, unbranched or branched, terete or compressed; internodes smooth, glabrous. Leaves: ligule to 0.3 mm long; blade involute or flat or conduplicate, sometimes setaceous, sometimes flexuose at maturity, 20-25 cm long, to 3 mm wide. Inflorescences 14-30 cm long, 1-2 cm wide, loosely contracted or interrupted or ±open; branches loosely appressed, 4-11.5 cm long, naked at base. Glumes usually slightly inverse, 5.5-9 mm long, 1-nerved, glabrous or hairy, scabrous or scaberulous; lower glume caducous, entire, acute, awned; upper glume obtuse, notched or entire, aristulate. Lemma 3.5-5.5 mm long, shorter than both glumes, involute, smooth, without an articulation or pseudoarticulation; groove smooth or tuberculate; column absent; awns slightly but visibly unequal, straight; median awn 8-15 mm long; lateral awns 6-12 mm long. Caryopsis furrowed in T.S., 3-4 mm long, more than twice embryo length."
Lampranthus glaucus,"Erect shrub to 30 cm high. Branches terete, grey; branchlets reddish. Leaves acute, 9-14 mm long, 2-3 mm wide, dark-green or glaucous, the surface densely dotted giving leaf edges a denticulate appearance; keel sharply acute. Flowers yellow, 4-5 cm diam.; pedicels 9-21 mm long."
Medicosma fareana,"Tree to 10 m high. Leaves opposite or in whorls of 3 or rarely subopposite or alternate, simple; petiole 1-1.7 cm long; lamina elliptic or narrowly so to narrowly obovate, 7-28 cm long, 2-8.5 cm wide; secondary veins 14-18 on each side of midrib, divergent at angle of 70-80°. Inflorescences 1-several-flowered, to 4 cm long; pedicels 7-25 mm long. Sepals 3.5-5 mm long, abaxially glabrous, accrescent to c. 8 mm long in fruit. Petals distinct, 7-7.5 mm long, white or cream, glabrous, persistent and accrescent to c. 10 mm long in fruit. Staminal filaments distinct, woolly at margin in c. proximal 1/2, eglandular. Stigma capitellate. Follicles 5.5-6 mm long."
Eucalyptus oligantha,"Tree to 15 m. Bark rough, fibrous throughout, grey or grey-white. Juvenile leaves alternate, ovate, concolorous. Adult leaves broadly ovate or suborbicular; lamina 10-15 cm long, 7.5-13 cm wide, green; lateral veins visible, at 40°-50°; intramarginal vein up to 1 mm from margin; petiole terete, 25-70 mm long. Umbels 3-7-flowered; peduncle terete, 5-10 mm long; pedicels 5-8 mm long. Buds obovoid; operculum conical or hemispherical, apiculate, 3-4 mm long, 4-5 mm wide; hypanthium cylindrical to ovoid, c. 4 mm long, 4-5 mm wide. Fruits subcampanulate, subcylindrical or ovoid, 7-9 mm long, 6-8 mm wide; disc narrow, descending; valves usually 4, level or slightly exserted."
Diplodium grossum,"Rosette leaves 4-7, ovate, 8-20 x 5-12mm, dark green, margins entire, apex acute to acuminate; petioles 2-12mm long. Flower stem 100-200mm tall, shortly hairy, sturdy; stem leaves sessile, 2-3, to 25 x 10mm, acuminate. Flower solitary, 17-20 x 7-9mm, translucent white with dark green stripes and markings. Dorsal sepal sharply tapered above middle, about as long as petals. Sinus curved in side view, in front view flat or sloping gently to shallow dark green notch. Free points linear-filiform, 20-25mm long, smooth. Petals not flared. Labellum hidden, curved forwards at apex, 5.5-6 x 2.5mm, oblong, white with dark green stripes, margins shortly hairy, apex broadly obtuse, dark green."
Bidens subalternans var. subalternans,"Annual herbs 20-50 (-150) cm high. Leaves bipinnate, 9-12 cm long, 5 cm wide overall; ultimate segments broadly lanceolate to ovate (leaflet-like), 10-20 mm wide, serrate to lobed, glabrous or with sparse hispid hairs confined to veins on lower surface. Outer involucral bracts 4-12 mm long, shorter than florets and inner involucral bracts, linear to narrowly spathulate, ±obtuse, ciliate on margins; inner bracts glabrous, cream with numerous longitudinal purple veins and yellow margins. Achenes dimorphic, longest ones to 14 mm (excluding awns)."
Pleiogynium,"Dioecious trees. Leaves alternate, mostly imparipinnate; leaflets opposite or subopposite, entire. Inflorescences axillary. Calyx 5-, rarely 4- or 6-lobed. Petals 5, rarely 4 or 6, imbricate. Male flowers: stamens 10, rarely 8-12, inserted below margin of disc; anthers dorsifixed, introrse; disc depressed-conical, crenate, surrounding central pistillode. Female flowers: staminodes similar to stamens but smaller; disc annular, radially furrowed; ovary depressed obovoid, crown-like with 8-12 styles on upper margin, 8-12-, rarely 5-locular with 1 pendulous ovule per locule. Fruit drupaceous, 5-12-seeded; exocarp membranous; mesocarp fleshy outside, woody inside; endocarp bony. Embryo curved; cotyledons free, plano-convex."
Hymenophyllum holochilum,"Rhizome with some scattered hairs. Fronds 2-7 cm long. Stipe 0.3-3.5 cm long, erect, very narrowly and indistinctly winged, with long golden-brown spreading hairs scattered along the stipe, rachis and veins on 1 surface only. Lamina deeply 2- or 3-pinnatifid, 1.4-4 cm long, 1-2.6 cm wide. Ultimate segments oblong, 0.7-2 mm wide; margins toothed. Sori solitary or rarely in pairs, on short acroscopic pinna lobes and/or at the apex of upper primary pinnae, mostly in the upper half of the lamina; involucre ovate, bilabiate, divided to the middle or slightly beyond, remainder immersed, 1.7-2.5 mm long, 0.7-1.2 mm wide; base cuneate; margins entire, erose or lacerate; apex acute; receptacle included or shortly exserted."
Hymenochilus pratensis,"Rosette leaves 4-8, obovate, 25-35 x 14-22mm, sometimes nearly round, dark green, margins entire. Flower stem 70-150mm tall, 2-3mm across, 2-12-flowered. Sterile bracts 2-6. Flowers densely crowded, 7-8.5 x 4.5mm, translucent white with prominent green stripes. Lateral sepals pouched, 5-5.5 x 6-7mm when flattened. Petals 6-7 x 2.6mm, pale green with darker veins, margins entire. Labellum oblong, 2.4-2.8 x 2.4mm, whitish-green with dark green appendage c.1.3 x 1mm, with prominent broad blunt beak c.0.5mm long."
Paraprasophyllum brevilabre,"Plants 200-500mm tall, green, brownish or blackish. Free part of leaf usually short, 20-80(-120) x 4-7mm, often blackish. Ovary shortly stalked. Spike 80-200mm long, 8-22-flowered. Flowers well-spaced to crowded, unscented, 10-14 x 7-10mm, green, dark brown, blackish or purplish, labellum crystalline white, callus green, yellow or whitish. Dorsal sepal 6-8 x 3-4mm. Lateral sepals usually fused, each sepal 6-8 x 2mm. Petals 6-8 x 1.5mm, margins often crinkled. Labellum sessile, oblong, sharply folded back on itself, apex often touching base, 6-8 x 3.5-4mm, margins crinkled. Callus ending just beyond labellum bend, apex papillate."
Acacia adoxa var. subglabra,"Spreading shrub, often straggly with somewhat wiry, entangled branches; crowns dark green or greyish green. Branchlets glabrous to shortly pilose. Phyllodes and bracteoles glabrous or pilose. Peduncles 6-15 (-23) mm long, glabrous to shortly pilose. Calyx lobes and corolla lobes glabrous or with few hairs."
Solanum nummularium,"Erect or rounded, intricate shrub to 1 m, sparingly clonal, usually rusty-green, densely pubescent with stellate hairs; hairs dense on lower leaf-surface, sparser on upper surface; prickles 5-12 mm long, conspicuous on stems, often paired at base of petioles, absent elsewhere. Leaves orbicular to broadly orbicular; lamina 4-10 mm diam., sometimes larger, slightly discolorous, entire; petiole 2-4 mm long. Inflorescence short, 1-2-flowered; peduncle to 5 mm long; pedicels 3-6 mm long, slightly longer in fruit. Calyx 2.5-5 mm long; lobes broadly triangular, 0.5-1 mm long. Corolla stellate, deeply incised, 20-25 mm diam., purple-blue. Anthers 5-6 mm long. Berry globular, 10-15 mm diam., yellow. Seeds 2.5-3 mm diam., pale buff."
Cenchrus purpureus,Pending.
Tetrarrhena acuminata,"Plants rhizomatous, decumbent to erect. Culms 6-100 cm long, glabrous. Leaves: ligule 0.3-0.5 mm long, unfringed; blade flat, 1-5 cm long, 1-3 mm wide, abaxially glabrous. Raceme 0.5-2.5 cm long; rachis glabrous. Spikelets shortly pedicellate or subsessile, 5-9.5 (-11) mm long. Glumes subequal or unequal, c. 1/8 length of remainder of spikelet, 1-nerved; lower glume 1 mm long, keeled; upper glume 1-1.5 mm long, acute to obtuse. Sterile florets: lemmas acuminate to obtuse, mucronate, with very prominent nerves, glabrous; upper lemma 6.5-8.3 mm long. Bisexual floret: lemma 4.8-7.3 mm long, 7 (-9)-nerved, glabrous; stamens 4."
Drynaria x dumicola,"Rhizome 2-5 cm thick, smooth and snake-like when old, bearing scattered adpressed scale bases. Scales 2-10 mm long, 0.7-1.5 mm wide, stiff, brown to very dark brown; bases rounded, appressed, overlapping, gradually tapering to a narrow acute ±spreading apex; margins paler and bearing fine cilia. Nest fronds ±ovate, 15-29 cm long, 12-16 cm wide, shallowly or deeply lobed; lobe apices rounded. Foliage fronds to 130 cm long; stipe to 38 cm long, obscurely winged almost to the base. Lamina ovate, 1-pinnate becoming pinnatifid near apex, 50-98 cm long, coriaceous, dark green; lobes sessile, strap-like, abruptly decurrent to midrib of frond, to 23 cm long, 2.5 cm wide, usually narrowed towards their bases, tapering to a mostly acute apex; margins shallowly incised (1 incision between most pairs of main lateral veins); costular nectary either in basiscopic or acroscopic pinna axil or both, or absent. Sori round, 1-2 mm diam. or oblong to linear, to 2 mm wide, 3-4 mm long, irregularly placed between major lateral veins, impressed into the lamina surface, producing rounded protuberances on the upper surface. Spores irregular, some globose, many shrivelled or lacking contents, 45-55 µm diam. Partially fertile triploid"
Tectariaceae,"Terrestrial, lithophytic or climbing (Arthropteris) homosporous ferns. Rhizome long- or short-creeping or erect, scaly. Scales elongate, narrow, tapering from base. Fronds entire (not in Australia) to 3-pinnate or 4-pinnate-pinnatifid (not in Australia), catadromous or sometimes basal pinnae anadromous, monomorphic or dimorphic, herbaceous or coriaceous, glabrous or bearing hairs and scales; hairs often reddish and articulate. Stipes tufted or scattered along the rhizome, articulated to rhizome (Arthropteris) or not, sometimes articulated to a phyllopodium (Arthropteris). Pinnae articulated to rachis (Arthropteris) or not; rachis winged (not in Australia) or not; venation free or anastomosing; hydathodes sometimes associated with vein endings (Arthropteris). Sori round, elongate or linear (not in Australia), paraphyses sometimes present (Arthropteris); indusia absent or round, reniform, peltate, elongate or linear (not in Australia). Spores monolete, ellipsoidal or spherical, with cristate or echinate wing-like folds, lacking chlorophyll."
Dryandra borealis subsp. elatior,"Erect, bushy shrub to 2.5 m, without lignotuber. Perianth limb 7-7.5 mm long."
Orites milliganii,"Robust shrub or small tree, sometimes to 6 m tall. New shoots glabrous except a few, straight, rusty hairs on upper surface of leaves. Leaves with petiole 5-9 mm long; lamina ovate to obovate, 15-30 mm long, 9-19 mm wide, obtuse but apiculate, serrate, thick; margins flat to slightly recurved. Conflorescence terminal; rachis 2-6 cm long, glabrous or sparsely pubescent; bracts ovate, obtuse to acuminate, 3.5-4.5 mm long, ciliate. Perianth 7-8.5 mm long, white. Hypogynous glands orbicular to square, thick, 0.2 mm long. Gynoecium 6-7 mm long; ovary rusty-villous. Follicle oblong-elliptic, abaxially broadened at base, beaked, 10-20 mm long, glabrous. Seed surrounded by wing."
Ixieae,"Rootstock a corm, rarely a rhizome. Leaves equitant, sometimes terete or winged in section. Inflorescence a spike of sessile flowers each enclosed at the base by 2 persistent bracts or reduced to a solitary flower. Perianth actinomorphic to zygomorphic, with a distinct tube. Stamens free, very rarely monadelphous, inserted on the perianth tube, equilateral or unilateral. Ovary inferior, with nectaries in the septa; style trifid, the branches opposite the stamens, never petaloid."
Acacia ammophila,"Tree to ± 6 m high. Bark furrowed, dark grey. Branchlets apically white appressed-puberulous. Phyllodes linear, 10-20 cm long, 2.5-6 mm wide, acute to uncinate-acute, densely silvery appressed-puberulous (indumentum sparse on older phyllodes), with numerous closely parallel obscure veins. Inflorescences 2-4-headed racemes; raceme axes 1-4 mm long, densely appressed-puberulous; peduncles 7-12 mm long, appressed-puberulous; heads globular, 5 mm diam., 25-40-flowered, golden; bracteoles spathulate, acute. Flowers 5-merous; sepals ±free. Pods submoniliform, straight, to 20 cm long, 4-8 mm wide, firmly chartaceous to ± cartilaginous, longitudinally reticulate, minutely appressed-puberulous, glabrescent. Seeds longitudinal, oblong, ± 10 mm long, dull, dark brown; funicle gradually expanded to minute aril."
Deyeuxia pungens,"Slender to moderately robust perennial, caespitose. Culms erect, to c. 100 cm high, unbranched above, 3 or 4-noded. Leaves mostly basal; basal sheaths glabrous; ligule 4-11 mm long, obtuse; blade mostly loosely to closely involute, to 45 cm long, to 1.5 mm wide, smooth to scaberulous, glabrous. Panicles cylindrical, contracted and spike-like, or sometimes interrupted, 10-30 cm long, purplish to straw-coloured. Spikelets 4-5 mm long; pedicel 0.5-2 mm long; rachilla prolonged by c. 0.3 mm, glabrous or with a terminal tuft of hairs to c. 0.5 mm long. Glumes equal, ±equalling lemma, acute. Callus bearded; hairs to c. 1 mm long. Lemma lanceolate, 4-5 mm long, truncate or erose, awnless or awned, weakly indurated, rather prominently 5-7-nerved, smooth or minutely scaberulous; awn up to c. 1/5 as long as lemma, arising in upper 1/4 of lemma and not exceeding it, straight, with column not differentiated. Anthers c. 2 mm long."
Corunastylis filiformis,"Leaf 150-300 mm long; free part 10-20 mm long, ending well below flowers. Spike 10-45 mm long, 5-30-flowered. Flowers moderately crowded, porrect, 6.5 x  5 mm, greenish to purple with reddish purple to purple labellum. Dorsal sepal 4.5 x  2 mm; margins with short hairs; apex sharply pointed. Lateral sepals widely divergent, 6 x  1 mm. Petals 3.5 x  1 mm; margins with short gland-tipped hairs; apex sharply pointed. Labellum tremulous, elliptic to obovate, 3.5-4 x  1.8 mm, thin-textured; margins with numerous short gland-tipped hairs; apex pointed. Callus oblong, constricted near middle, extending nearly to labellum apex (sometimes ending about halfway)."
Cheiranthera filifolia,"Erect shrub rarely taller than 1 m high, with few branches, €˜leaning€™ on other shrubs but not scandent; new shoots red-brown, older shoots warty with lenticels; hairs if present as for the genus, rigid. Leaves whorled, sessile, articulate with stem, stem-clasping almost funneled around the stem, mostly in the upper branches, thick, canaliculate, 10-35 (-40) long, c. 1 mm wide, almost needle-like, apex mucronate. Inflorescences terminal, corymbose with up to 10 flowers, held prominently 10-20 mm past the last leaves; rachis to 20 mm long, angular, purple; pedicels and peduncles ridged, purple, both c. 10-12 mm long; bracts and bracteoles sepaline, insignificant. Sepals narrow-triangular, fairly equal, 2-3 mm long, c. 1 mm wide, green at the base and then purple, margins sinuate, minutely ciliate with non rigid hairs, inner surface hairy. Petals obovate or almost rectangular, 8-12 mm long, margins towards the apex sinuate and incurving, apex just cuspidate; almost white on the outer surface with purple-blue margins; inner surface deep purple-blue. Stamens aligned like a hand facing petal break; filaments 3-5 mm long, straw-coloured tinged with deep blue; anthers cohering with apices recurving at anthesis pulling the slits open to act like pores; anthers gold, oblong-sagittate with a minimal 1 mm long basal sinus, longer than filaments, 6-8 mm long, dehiscing gold pollen through apical slits. Pistil not stipitate, ± hairy and if so the hairs extending up the style; bilocular, green, cylindrical; style elongated with minimal stigmatic development, curving towards stamens.Fruit a chartaceous capsule, 10-12 mm long, narrowing at base, eventually brown and septicidally dehiscent; seeds reniform, smooth, glossy, white aril present."
Maireana polypterygia,"Shrub c. 70 cm high, usually dioecious. Branchlets closely woolly. Leaves alternate, semiterete to spathulate, rounded below, 8-15 mm long, appressed-pubescent. Flowers solitary, glabrous. Fruiting perianth glabrous; tube cup-shaped, 2.5-4 mm high, weakly crustaceous (somewhat fleshy when fresh), with a horizontal wing at base and apex and several imperfectly developed vertical wings, all wings papery and faintly veined; apical horizontal wing circular, 7-17 mm diam., usually with a single radial (radicular) slit; basal horizontal wing slightly smaller than apical; vertical wings up to 4+2, the contiguous pair decurrent from the radicular slit."
Oligochaetochilus,"Terrestrial tuberous orchids growing as individuals or in loose groups. Tubers paired, rounded to oblate, fleshy, often relatively large. Sterile plants consist solely of a leafy rosette; leaves several, sessile, sheathing at base, imbricate, fleshy, often with marginal siliceous cells. Flowering plants with scape central on rosette, wiry or fleshy, multiflowered. Sterile bracts closely sheathing, scarious, sometimes imbricate. Fertile bracts similar. Pedicels thin, short to long. Ovaries slender, often siliceous. Flowers few to several, greenish, greyish, brownish or reddish. Dorsal sepal and petals adherent to form a galea. Dorsal sepal concave, cucullate, often with transparent €˜windows€™, apex extended as a short to long tapered or filamentous point. Lateral sepals fused to form a synsepalum, deflexed to form a lower lip, flat to cupped; free point of each sepal extended as a tapered or thread-like tail. Petals often transparent. Front of flower open, although in some species prominent flanges on base of petals overlap and block off access to basal part of opening. Labellum deflexed, motile, attached by strap-like claw to apex of column foot. Labellum lamina insectiform, unlobed, covered with short bead-like to long hair-like silicious cells; basal area often enlarged or swollen (often termed basal lobe), sometimes mounded; margins adorned with siliceous cells and spreading white moniliform bristles; apex entire or notched. Column with elongated column foot. Column wings with unbranched, moniliform, linear or clubbed barrier trichomes. Anther with four pollinia in two pairs."
Thelymitra pallidifructus,"Leaf forming closed sheath 30-50mm above ground before expanding to linear blade, 10-150 x 1-2mm, green with reddish base. Flower stem pink, 150-300mm tall, 2-10-flowered. Sterile bract one. Ovaries and capsules pale yellow-green. Buds pink. Flowers 10-15mm across, internally pale blue to lilac, externally lilac and green. Sepals and petals 6-10 x 3-6mm. Column 4-5 x 2-3mm, white or pale blue; post-anther lobe c.2 x 2mm, pale yellow with brown to purple collar, hooded, apex ribbed or crinkled; column arms converging, c.1mm long, curved upwards; hair tufts mop-like, untidy, white, held in front of column; individual hairs c.1mm long."
Amphipogon sericeus,"Plants 30-60 cm high, forming large dense tufts; rhizome not well developed, oblique. Shoots intravaginal. Leaves glabrous or sparsely hirsute to pubescent; blade flat both when fresh and dried, 8-15 cm long, 2-2.5 mm wide. Inflorescences linear, 35-60 mm long, 7-20 mm wide. Sterile spikelets absent. Bisexual spikelets 10-11 mm long; glumes c. 5.5 mm long, entire, obtuse with a small point, scaberulous all over with the hairs often glandular, or hirsute on upper lateral areas, lacking tubercle-based hairs or large setae, green to straw-coloured, occasionally tinged purple; callus 0.6-0.7 mm long, pointed; lemma body 3-4 mm long, densely sericeous all over except glabrous patches on upper lateral areas; lemma lobes equal, c. 7 mm long including 2.5-4.5 mm tapering to a short awn-tip, plumose, with tip scabrous for 0.1-1.3 mm. Anthers 4.5 mm long. Styles fused to at least half way. Stigma red."
Acacia ferocior,"Rigid semi-prostrate to erect compact or spreading shrub, to 0.7 m high and 2 m diam. Branchlets short, straight, patent to erect, ± striate, spinescent, green, glabrous or hirtellous. Phyllodes linear to asymmetrically oblanceolate, 5-13 mm long, 1-2.5 mm wide, excentrically mucronulate at the often rounded sometimes uncinate apex, green, glabrous or hirtellous, 1-veined; lateral veins few, obscure and trending longitudinally; gland inconspicuous, 1-2 mm above pulvinus. Inflorescences rudimentary 1-headed racemes with axes more than 0.5 mm long; peduncles 4-7 mm long, slender, glabrous; basal bracts brown; heads globular, 2.5-3 mm diam., 6-9-flowered, lemon yellow or golden; bracteoles usually absent. Flowers 5-merous; calyx united, often ± truncate. Pods strongly arcuate to coiled, c. 1 cm long (unexpanded), with valves c. 3 mm wide, firmly chartaceous, glabrous. Seeds longitudinal, ovate, c. 3 mm long, semi-shiny, black; aril linear-clavate."
Diffusa Subgroup,"Unit conflorescence dense, broadly secund to subglobose, erect to decurved or pendulous. Floral rachis 2-10 (-20) mm long. Tepals separating almost to level of ovary, splayed within 90º of ventral suture, independently recoiled displaying beard on inner surface. Pistil 6-15 mm long. Pollen-presenter oblique. Follicle ±smooth, not ridged."
Clematis clitorioides,"Dioecious woody climber. Leaves ternate or often imparipinnate with 5 leaflets; leaflets ovate, 1.2-4.5 cm long, 0.5-2.2 cm wide, entire or more rarely dentate, acute, usually glabrous. Flowers in axillary and terminal dichasial panicles. Tepals caducous, narrow-elliptic to narrow-ovate, 1.3-2.7 cm long, white, ± glabrous below except for lanuginose margin, glabrous above. Stamens 4-12 mm long; filaments glabrous; anthers narrowly ovate to broadly elliptic, 1.5-3 mm long, with linear appendage, 0.5-1 mm long; staminodes present. Achenes compressed, ovate, 4-5 mm long, 1.5-2 mm wide, usually glabrous, smooth; margin slightly pronounced; awn 2.0-4.5 cm long."
Pimelea erecta,"Shrub 0.3-2 m high. Stems glabrous. Leaves opposite, shortly petiolate, usually narrowly elliptic to ovate, glabrous, concolorous, medium green; lamina 5-20 mm long, 1.5-5 mm wide. Inflorescence erect, compact, many-flowered; involucral bracts usually 8 or 10, ovate or elliptic, 5-11 mm long, 1.3-4 mm wide, glabrous outside, densely hairy inside, densely ciliate, dark reddish at base, green above. Flowers bisexual, glabrous at extreme base outside, densely hairy above, white or sometimes pale pink. Hypanthium 6-8 mm long, circumscissile; style-portion 3.5-5 mm long, with short hairs (sometimes mixed with long hairs) outside, hairy inside. Sepals 2.5-3.5 mm long, glabrous inside. Stamens longer than sepals; anther locules semi-latrorse. Ovary hairy especially distally."
Chaetospora,"Perennial tufted herbs, 0.1-0.55 m high; plants clonal, usually forming dense tussocks 0.05-0.2 m across; rhizome thin, woody, short, branched, 0.8-3.4 mm diam., pseudobulbous; old leaf sheaths covering the rhizome, usually breaking apart into fine fibres with age, straw-coloured to reddish brown; roots sand-binding or not. Culms slender, rigid, erect, 11-53 cm tall, 0.6-2.5 mm wide, not noded, terete to compressed, usually sulcate when dried, smooth, glabrous, green to yellow-green, base not enlarged. Leaves all basal, numerous; phyllotaxy loosely spirotristichous; sheath 20-70 mm long, 0.7-2.7 mm wide, broader than the leaf lamina, glabrous or scabrid, straw-coloured to reddish brown, dull, upper margin membranous, oblique, ligule absent; cauline sheath tight around culm; pseudopetiole obscure or absent; leaves with a well-developed lamina, not exceeding the culms, lamina dorsiventral, 4-21 cm long, 0.3-0.9 mm wide; bases white or brown-membranous, sometimes dividing; lamina ± linear, flat to channelled above, ± flexuous, old leaf tips usually curling, finely multi-striate, glabrous except for margins, green to brown, concolorous, keeled along mid-vein or not, margins scaberulous, not recurved, apex long-attenuate, setaceous; lowest leaves reduced to a sheath, lamina reduced to a mucro, pale to reddish brown. Inflorescence very contracted, panicle-like or subcapitate and appearing head-like, straight to somewhat flexuous, with 2-6 nodes, 0.5-1.7 cm long, 6-16 mm wide, not interrupted; bracts leaf-like, greatly exceeding the spikelet clusters in length, sheaths in the lower part of the inflorescence open, not or sometimes enveloping the higher bracts, gradually reducing along the inflorescence and often mostly hidden among the spikelets, basal bract spreading to suberect, similar to the leaves, much longer than the inflorescence, to 65 mm long; branches erect to spreading, with 2-5 spikelets in a terminal cluster, spikelet(s) on short, terete, glabrous peduncles 0.2-1.4 mm long, arising in each bract axil; basal branchlet 4.5-6.6. mm long (including spikelets); spikelet prophyll present, sheath 0.9-1.5 mm long, brown, partially enclosing the spikelet, with a slender lamina 0.2-1.6 mm long, brown. Spikelets pale to dark brown or chestnut, narrow-ovate, 4.7-8 mm long, 1.2-3.2 mm wide, terete, with 5-9 glumes, only topmost 1 or 3 fertile, the lower 2 flowers when present male fertile, the upper flower bisexual, fertile, no reduced glume above the florets; glumes spirodistichous, basal glume 2.6-4.2 mm long, fertile glumes 3.8-6.2 mm long, 0.9-1.6 mm wide, membranous, pale to dark brown or chestnut, lamina puberulent or glabrous, keel and margins scaberulous, ciliate or denticulate, acute or attenuate, often sparsely scabrous on the keel, usually ciliate on the margins, lamina glabrous, ovate-lanceolate, acute to acuminate or obtuse, with a mucro 0.3-1.2 mm long, keel distinct; rachilla compact and not sinuous in fruiting spikelets. Perianth segments 6, whitish, minute, ± linear, flat to terete, margins with dense to scattered, white, short, antrorse, ciliate or ciliate-plumose hairs, persistent on the nutlet. Stamens 3; anther connective 2.0-6.2 mm long, linear to subulate; anthers yellow, 1.8-3.1 mm long, twisted when dry, with a glabrous apical appendage 0.5-0.8 mm long. Style trifid, base 1.4-3.5 mm long, glabrous, slender throughout, branches 1.3-2.9 mm long, hispidulous. Nutlet stipitate, stipe 0.3-0.5 mm long, somewhat constricted, obovoid to obpyriform, obscurely trigonous, dull, brown to dark brown, reddish brown or grey, 1.4-2.3 mm long including the stipe and style base, 1.0-1.4 mm diam., faces irregularly reticulate to rugulose or tuberculate at 40x  magnification, shortly hispidulous to scabrous or tuberculate at the apex, otherwise glabrous; epidermal cells usually square-hexagonal, inconspicuous, with three fine white ribs, style base not enlarged, thin, sometimes part of the base persistent, cylindrical; embryo Schoenus-type. Photosynthetic pathway inferred from anatomy to be C3. 1C = 0.26 pg for C. turbinata (K.L. Wilson 10781; BureÅ¡ et al. 2013)."
Tapeinosperma repandulum,"Shrub 1-3 m high or small tree to 5 m high; twigs often angular. Leaves: petiole 2-3 (-4) mm long; lamina obovate to oblanceolate, occasionally lanceolate, tapering to an acuminate apex, 7.8-19.3 cm long, 2.3-5.6 cm wide, margin irregularly serrulate to crenulate, glands pellucid globular and lineate, c. 6-8 per areole. Inflorescence 2-7 (-8) cm long, 2-3 cm wide; pedicels 3-7 (-9) mm long, with dark-coloured lineate gland, elongating and curving as fruit matures. Flowers c. 3 mm long, calyx c. 1 mm long; corolla 2.5-3 mm long, cream, glands concentrated into the median area of the lobes, drying black; stamens: filaments 1 mm long, anthers 2 mm long, awl-shaped; ovary c. 1 mm diam., style 2.5-3 mm long, glands dark; ovules 4 or 5. Fruit depressed-globular, 6-7 mm long, c. 8 mm wide, dark pink to red."
Phebalium microphyllum,"Rounded shrub c. 0.5 m high. Branchlets smooth, closely lepidote. Leaves spreading, shortly petiolate, oblong, 3-4 mm long, 1.5 mm wide, slightly crenulate, rounded at apex, coriaceous; adaxial surface convex, ±smooth, glabrous, without an impressed midrib; abaxial surface smooth, closely lepidote. Umbels sessile, 3-6-flowered; pedicels slender, 3-6 mm long. Calyx small, c. 1 mm high including the deltate teeth c. 0.5 mm long, smooth, closely ferruginous-lepidote abaxially. Petals elliptic, c. 3.5 mm long, yellow, ferruginous abaxially. Cocci erect, c. 3 mm high, rounded at apex, apiculate on outer angle."
Leucanthemum,"Perennial herbs, erect. Leaves undivided or lobed. Capitula solitary or several, radiate (in Australia) or discoid; involucre multi-seriate, with bracts gradational in length; receptacle epaleate. Ray florets female, fertile. Disc florets bisexual; corolla 5-lobed. Achenes sometimes dimorphic, ±terete, 10-ribbed. Pappus present on ray florets, sometimes minute."
