"taxon_name","original_text","text","life_history_a","life_history_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f"
"Hymenophyllum","Small epiphytic, lithophytic or terrestrial ferns. Rhizome creeping, narrow or wiry, rarely stout. Lamina simple or pinnately divided, with single vein; margins entire or with minute teeth, glabrous. Sori terminal on ultimate segments or on rows of 1–3 short branchlets on upper side of each secondary rachis; indusium divided to middle or base, sometimes forming tube for part of length, lips toothed or smooth. Receptacle included or very slightly exserted. Sporangia large."," small epiphytic, lithophytic or terrestrial ferns. ",,,"fern","ferns","epiphyte lithophyte terrestrial","epiphytic lithophytic terrestrial",,,,
"Gladiolus tristis","Corm with outer layers papery to woody. Stem unbranched, with 2 or 3 reduced leaves. Basal leaf 1, narrowly linear, 2–4 mm wide, cross-shaped in section, with thickened midrib and margin. Inflorescence with flowers secund, 2–7-flowered. Flowers funnel-shaped, dull yellow with a dark line on each perianth lobe, veining often blackish green or lobe with darkly speckled, sometimes with deeper yellow mid-vein, strongly aromatic at night. Perianth tube 4–6 cm long, widened at mouth, curved; lobes with margin and apex flat, sub-equal, spreading; adaxial lobe not or only slightly hood-shaped. Anthers 12–14 mm long. Style branches ± level with anthers. Flowers Sep.–Oct.","  ",,,,,,,,,,
"Goodenia blackiana","Prostrate to ascending perennial to 20 cm high; stems to 20 cm long, usually stoloniferous, pubescent. Leaves mainly basal, obovate to oblanceolate, 2–6 cm long, 5–15 mm wide, acute or obtuse, upper surface glabrescent, lower surface white cottony-tomentose, rarely glabrescent, margins dentate, base attenuate into an indistinct petiole; cauline leaves smaller. Inflorescences terminal racemes to 5 cm long, or flowers solitary in axils; peduncle 3–5 cm long, often geniculate at bracteoles at anthesis; pedicels 30–50 mm long; bracteoles linear, 5–12 mm long. Sepals narrow-oblong to ovate, 4–5 mm long; corolla 13–14 mm long, pubescent outside and inside, yellow, abaxial lobes 5–6 mm long, wings c. 2 mm wide; indusium broad-oblong, concave; ovules 12–18. Fruit ovoid, to c. 10 mm long, valves shallowly bifid; seeds elliptic, c. 3 mm long, papillose, yellowish, wing vestigial. Flowers mainly Aug.–Jan."," prostrate to ascending perennial to 20 cm high; ","perennial","perennial",,,,,,,"decumbent prostrate","ascending prostrate"
"Wittsteinia","Shrubs, sometimes epiphytic. Leaves alternate, subopposite or in pseudowhorls, entire or toothed. Flowers in axillary, fascicle-like cymes, or solitary in axils; calyx persistent in fruit; corolla barrel-shaped to campanulate-urceolate, lobes entire or crenate to fimbriate; stamens free or more or less adnate to the base of the corolla; ovary inferior or semi-inferior, 2–3-locular; stigma capitate."," shrubs, sometimes epiphytic. ",,,"shrub","shrubs","epiphyte","epiphytic",,,,
"Paspalum notatum","Rhizomatous perennial. Culms erect or geniculate, to c. 70 cm high; nodes glabrous. Leaf-blades flat, to c. 20 cm long and 10 mm wide, glabrous or the margins sparsely ciliate near the junction the sheaths, smooth or the margins very finely scabrous; sheaths glabrous; ligules ciliate, 0.3–1 mm long. Panicle 5–15 cm long, usually forked with of a pair of racemes to c. 10 cm long, occasionally 1–4 additional racemes present below the terminal pair. Spikelets green or purplish, elliptic, obtuse, 2.8–3.2 mm long, in 2 rows, each inserted at an angle of the regularly flexuous axis; lower glume not developed; upper glume 5-nerved, as long as spikelet, glabrous; lower lemma 5-nerved, equal to upper glume, glabrous; palea of lower floret absent; fertile lemma obtuse, as long as or very slightly shorter than spikelet, slightly rounded dorsally, pale, smooth to very finely striate. Flowers Mar.–May (4 records)."," rhizomatous perennial. ","perennial","perennial",,,,,,,"rhizomatous","rhizomatous"
"Eucalyptus baueriana subsp. deddickensis","Small tree to 8 m tall. Juvenile leaves obcordate to orbicular, 3–5 cm long and wide; adult leaves 5–7 cm long, 3–5 cm wide, dull, blue-green to subglaucous. Buds 4–5 mm long, 2.5–3.5 mm diam., sessile or on pedicles to 3 mm long. Fruits obconical or slightly cupular, 0.3–0.5 cm long, 0.3–0.4 cm diam. Flowers Nov.–Dec."," small tree to 8 m tall. ",,,"tree","tree",,,,,,
"Corybas diemenicus","Leaf circular to cordate, sometimes 3-lobed, green above, frosty underneath, 15–27 mm long, 13–31 mm wide. Flower reddish-purple with white central patch, pedicel (excluding ovary) c. 2 mm long; dorsal sepal dark reddish, broadly oblong-obovate, narrowly contracted at base, hooded, covering labellum and extending beyond it, c. 2 cm long when flattened out; lateral sepals linear, tapered, fused at expanded base, directed more or less horizontally forward, c. 4 mm long; petals narrowly falcate, wider and shorter than lateral sepals and attached to them at the base, usually directed forwards, c. 2–3 mm long, tips sometimes forked. Labellum 15–20 mm long when flattened out, tube erect, longer than lamina, auricles wide and opening downwards; lamina acutely recurved, expanded into trumpet-shaped orifice, crimson-streaked along veins with reddish hairs in front of boss, margins coarsely toothed and directed forwards; central boss white, conspicuous, convex (not channelled); callus entire. Column not winged. Flowers Jul.–Sep.","  ",,,,,,,,,,
"Dryopoa dives","Annual or short-lived, often slightly glaucous perennial, hardly tufted, culms erect, c. 1–3(–5) m high. Leaves glabrous; blade flat to 50 cm long and 2 cm wide, lightly scabrous; ligule membranous, 8–20 mm long. Inflorescence a broad open panicle, 15–50 cm long, the lower branches to 25 cm or more and often drooping. Spikelets 3–7-flowered, 7–10 mm long, wholly green or tinged purple; glumes 3-nerved, scabrous on the nerves, the lower 3–7 mm long, the upper 4–8 mm long; lowest lemmas 5–7.2 mm long, firm-textured except for the thinly membranous apex; palea subequal to lemma. Flowers Nov.–Mar."," annual or short-lived, often slightly glaucous perennial, hardly tufted, culms erect, circa 1–3(–5) m high. ","annual perennial","annual perennial",,,,,,,"erect","erect"
"Ficaria","Tuberous-rooted perennial herbs. Leaves rosetted or scattered on elongated stems; lamina entire, ovate to reniform, cordate at base. Flowers solitary; sepals 3; petals 8–12, yellow, glossy; nectary near base of petal, with obtuse or truncate lobe. Achenes hardly compressed, beak minute."," tuberous-rooted perennial herbs. ","perennial","perennial","herb","herbs",,,,,,
"Panicum miliaceum","Tufted annual, not or barely tussock-forming, but often several-stemmed from base; culms ascending to erect, to c. 1 m high; nodes hairy. Leaves with spreading, tubercle-based hairs on sheaths and blade margins, sometimes also on adaxial surface of blades; blade flat, to 35 cm long and 2(–3) cm wide; ligule a fringe 1.5–3 mm long, sometimes shortly membranous at base. Panicle usually dense, c. 15–30 cm long, typically drooping at maturity, sometimes remaining partially enclosed in upper leaf sheath. Spikelets 4–5.5 mm long; lower glume 5–7-nerved, ovate, acute, c. 3 mm long; upper glume 9–11-nerved, ovate, acute, as long as the spikelet; rachilla visible between glumes; lemma of lower floret equal to upper glume; palea of lower floret absent; fertile lemma obtuse, hard, shining, smooth, indistinctly nerved, c. 1 mm shorter than upper glume, dorsally rounded; palea subequal to lemma, convex. Flowers and fruits mostly Feb.–Apr."," tufted annual,  barely tussock-forming, but often several-stemmed from base; ","annual","annual","tussock","tussock",,,,,"caespitose","tussock"
"Lepidosperma urophorum","Tufted perennial with very short rhizome. Culms erect or arched, terete or often shallowly concave on one side or obscurely trigonous, striate, glabrous, smooth, 60–150 cm high, 0.8–1.8 mm diam. Leaf-blades usually reduced, to 2 cm long, or similar in form to culms but shorter, less than 1 mm diam.; sheaths blackish to very dark red-brown (culms often reddish near base), not viscid, ± dull. Inflorescence fan-shaped or linear in outline, consisting of 1 to several slender spikes, 3–8 cm long, 0.5–2 cm diam.; involucral bract shorter than inflorescence. Spikelets rather few, 5–7 mm long; glumes 4 or 5, puberulous to glabrous, grey-brown to red-brown, the 2 lowest empty, slightly shorter than fertile glumes, obtuse to acute, mucronate; fertile glumes 4–5.5 mm long, acute, mucronate; hypogynous scales 6, yellowish, from one-third to one-half length of nut. Nut narrow-ellipsoid to ovoid, pale brown to dark greyish, wrinkled to smooth, 3.0–4.0 mm long, 1.5–2.3 mm diam. Flowers spring–summer."," tufted perennial with very short rhizome. ","perennial","perennial",,,,,,,"rhizomatous","rhizome"
"Hibbertia australis","Erect to spreading, rarely decumbent shrub to 0.6 m high; branches pubescent. Vestiture of tubercle-based stellate hairs with few-many, often unequal branches. Leaves linear, 4–16 mm long, 1–2 mm wide, pubescent to glabrescent; petiole 0–0.7 mm long; apex obtuse or rounded; margins broad, recurved, touching the slightly raised, broader central ridge. Flowers on peduncles 5–18(–25) mm long, terminal, but often on short shoots, subtended by 1–2 linear-lanceolate bract(s) 3–4 mm long; sepals 6–7.5 mm long, unequal, tomentose to hirsute, with much larger stellate hairs scattered over the top of small stellate hairs; petals obovate, 6–9 mm long, yellow; stamens 4–9 in one cluster; filaments free to connate basally; carpels 3, tomentose. Flowers Sept.–Dec."," erect to spreading, rarely decumbent shrub to 0.6 m high; ",,,"shrub","shrub",,,,,"erect decumbent spreading","erect decumbent spreading"
"Cullen cinereum","Erect or ascending annual or perennial herb or subshrub to 1 m tall; stems glabrous or grey-pubescent. Leaves pinnately trifoliolate, to c. 10 cm long; leaflets ovate or elliptic, 1–5 cm long, 5–30 mm wide, both surfaces usually minutely hoary and dotted with glands, apices obtuse, mucronate, margins irregularly toothed; terminal petiolule 5–15 mm long; stipules triangular, acuminate, to c. 4 mm long. Inflorescence rachis 5–15 cm long; peduncles 4–30 cm long, longer than subtending leaves; flowers mostly in 3s along rachis; pedicels c. 1 mm long; bract ovate-acuminate, to c. 2 mm long, hairy. Calyx campanulate, 2–3 mm long, tomentose, teeth unequal, upper 4 shorter than calyx tube, lower one larger and longer than others, as long as calyx tube; corolla 3–4 mm long, blue or pink-purple. Pod reniform, c. 3 mm long, slightly exserted, strigose-pubescent, warty, brown; seed 1, to c. 3 mm long, yellow. Flowers mainly Oct.–May."," erect or ascending annual or perennial herb or subshrub to 1 m tall; ","annual perennial","annual perennial","herb subshrub","herb subshrub",,,,,"erect decumbent","erect ascending"
"Leionema bilobum","Shrub to 3 m high; branchlets slender, terete or slightly angular when young, minutely or coarsely stellate-hairy. Leaves shortly petiolate, chartaceous, shortly ovate-oblong and constricted below apex (Grampians) or narrowly elliptic-oblong or oblong (Gippsland), 6–50 mm long, 3–10 mm wide, truncate to strongly retuse, minutely glandular punctate, sparsely stellate-hairy to glabrous, midrib slightly impressed above, margins flat (Gippsland) or slightly recurved (Grampians), slightly to strongly serrate. Inflorescence a terminal cyme; flowers in axils of small terminal bracts or in short pedunculate clusters; pedicels minutely stellate-hairy, 4–8 mm long. Calyx c. 0.5 mm long, distinctly lobed, sparsely stellate-hairy; petals valvate, narrowly elliptic, 3–5 mm long, white, red towards apex, glabrous; stamens sub-equal to petals, anther pale yellow; disc short-cylindric, red or green; carpels 2–3(–4), glabrous. Follicles divaricate, narrowed at apex with terminal rostrum c. 1 mm long, smooth, c. 5 mm long."," shrub to 3 m high; ",,,"shrub","shrub",,,,,,
"Triphysaria","Annual hemi-parasitic herbs. Leaves alternate, lowest opposite, entire at base becoming pinnately divided upwards. Inflorescence a spike, bracteate; bracts pinnately lobed with 1–3 pairs of filiform divisions. Flowers zygomorphic, bisexual; sepals united to form 4-lobed tube; petals united to form a tube, 2-lipped, upper lip forming a beak, lower lip 3-saccate, shorter or longer than beak; stamens 4, in 2 pair, 1 pair longer than the other; anthers with 1 pollen sac; stigma capitate or bilobed. Fruit an ovoid or oblong loculicidal capsule. Seeds numerous, ovoid or narrowly ellipsoid with a reticulate tight-fitting seed coat."," annual hemiparasitic herbs. ","annual","annual","herb","herbs",,,,,,
"Lysiana","Aerial shrubs, stem-parasitic, erect, spreading or pendulous, glabrous; epicortical runners absent. Leaves opposite, sometimes clustered on condensed axes, flat and penninerved or compressed or terete (not in Victoria). Inflorescence axillary, 1- or 2-flowered, pedunculate or sessile (not in Victoria); bract 1 per flower. Flowers pedicellate; calyx entire or toothed; petals 6, united to the middle or higher into a curved tube, white, yellow, pink or red, sometimes tipped with green or black, tube inflated near middle, lobes unequal, longer and more reflexed on concave side; stamens 6, equal, anthers basifixed, immobile, introrse, 4-celled, sometimes transversely septate, c. equal to free part of filament. Fruit succulent, berry-like."," aerial shrubs, stemparasitic, erect, spreading or pendulous, glabrous; epicortical . ",,,"shrub","shrubs",,,,,"erect spreading","erect spreading"
"Banksia ornata","Shrub to c. 3 m high; lignotuber absent; bark thin, grey; branchlets slightly ribbed, hirsute to pubescent with a mixture of spreading and short, curled hairs. Leaves alternate, narrowly obovate to obovate-cuneate, 3–10 cm long, 4–25 mm wide, slightly discolorous, upper surface green, at first hirsute, soon glabrous, lower surface at first loosely woolly, finally glabrescent; margins serrate except near base, more or less flat or slightly recurved; apex obtuse to truncate, mucronate; petiole 1–5 mm long. Inflorescence 5–11 cm long, 7–9 cm wide at anthesis. Tepals 30–35 mm long, cream with a grey to pale ferruginous limb, hairy, persistent; style gently curved in upper third, persistent. Follicles to c. 50, 15–30 mm long, densely tomentose-hirsute, grey, opening only after fire. Body of seed more or less cuneate, 8–11 mm long, wing 21–25 mm long. Flowers mainly May–Sep."," shrub to circa 3 m high; ; ",,,"shrub","shrub",,,,,,
"Eucalyptus tricarpa subsp. decora","Branchlets, petioles and buds pruinose; juvenile leaves to 1.1 cm wide; adult leaves greyish.","  ",,,,,,,,,,
"Cassytha glabella f. dispar","Fertile bract clasping base of fruit. Fruit pyriform to fusiform, (5–)6–7(–11) mm long, (1.5–)2.5(–3.7) mm diam. (when dried), sessile, green, yellowish or orange-red when fresh, ribbed with prominent longitudinal veins; stone narrow-ovoid, 2.6–4.6 mm long, 1.5–2.5 mm diam., green-brown to dark brown. Flowers mostly Jun.–Oct.","  ",,,,,,,,,,
"Arundo","Robust, rhizomatous cane-like perennials; culms woody, persistent. Leaves cauline; ligule a shortly fringed membrane. Inflorescence a dense, silky to plumose panicle. Spikelets bisexual, pedicellate, 2–7-flowered, disarticulating between florets; glumes 2, equal or nearly so, keeled, awnless, 3–5-nerved; lemma dorsally rounded, 3–9-nerved, entire or shortly-lobed, the lobes often awn-tipped, often shortly; palea half as long as to subequal to lemma."," robust, rhizomatous  perennials; ","perennial","perennials",,,,,,,"rhizomatous","rhizomatous"
"Pomaderris lanigera","Shrub 0.5–3 m high; branchlets moderately to densely villous with rusty simple hairs obscuring fine stellate hairs. Leaves ovate or elliptic, 40–130 mm long, 20–50 mm wide, acute or obtuse, margins plane, upper surface with sparse to mid-dense, erect simple hairs, lower surface villous with spreading rusty simple hairs over short stellate hairs, secondary (and sometimes tertiary) veins apparent; stipules 4–6 mm long, deciduous. Panicles c. hemispherical, 4–12 cm diam., bracts deciduous. Flowers yellow, externally pale- to rusty-villous; pedicels 2.5–5.5 mm long; hypanthium 1–1.5 mm long; sepals 2–3 mm long, deciduous; petals spathulate, 1.5–2.5 mm long; disc absent; ovary inferior, summit villous, style branched in upper half. Operculum membranous, c. half mericarp length. Flowers Aug.–Oct."," shrub 0.5–3 m high; ",,,"shrub","shrub",,,,,,
"Eremophila scoparia","Shrub to c. 3 m high, silvery-scaly; branches sometimes tuberculate. Leaves opposite, c. terete or linear, mostly 6–15 mm long, 1–2.5 mm wide, silvery-scaly, uncinate, base long-decurrent, margins entire. Inflorescences 1- or 2-flowered; pedicels 2–6 mm long, straight. Flowers zygomorphic; sepals triangular, 1.5–3.5 mm long, acute, valvate, silvery-scaly; corolla 15–25 mm long, scaly outside, hairy inside, margins stellate-hairy, lilac or white, spotted, upper lip 2-lobed; stamens 4, included, anthers reniform; ovary scaly, style scaly and with branched hairs. Fruit conical, 3.5–5 mm long, 2–3.5 mm diam., dry, scaly. Flowers mostly Aug.–Jan."," shrub to circa 3 m high, silvery-scaly; ",,,"shrub","shrub",,,,,,
"Tradescantia fluminensis","Perennial glabrous herb; stems prostrate, often ascending at tips, rooting at nodes. Leaves ovate to narrow-ovate, 3–5.5 cm long, 1–2.5 cm wide, green above and below. Flowers pedicellate; sepals 5–7 mm long, green; petals broadly ovate to elliptic, 7–10 mm long, white; stamens free, filaments white, bearded, with numerous long, moniliform hairs attached at base of filament. (See genus description for further details). Flowers Sep.–Feb."," perennial glabrous herb; ","perennial","perennial","herb","herb",,,,,,
"Aristida behriana","Tufted perennial, culms erect, simple, to 40 cm high. Leaves mostly basal, smooth and glabrous; blade loosely inrolled, to 20 cm long and 3 mm wide when flattened out; ligule densely ciliate, c. 0.2 mm long with tufts of hairs to 3 mm long at the sides. Inflorescence a dense, cylindric or ovoid panicle, to 15 cm long and 12 cm wide (including awns); glumes unequal, narrow-acuminate, the lower 7–12 mm long, the upper 14–20 mm long; lemma convolute, narrow-cylindric, 7–12 mm long, glabrous except for short, white callus hairs, surface smooth, pale or purplish; awn branches subequal, 25–60 mm long. Flowers mainly Oct.–Jan."," tufted perennial, culms erect, simple, to 40 cm high. ","perennial","perennial",,,,,,,"erect","erect"
"Phyllanthus hirtellus","Dioecious shrub to 50(–120) cm high; branchlets scabrous to hirsute. Leaves obovate to oblanceolate or obcordate, 3–11 mm long, 1.8–6.6 mm wide, acute to emarginate, paler below, scabrous to hirsute along margins and veins, rarely glabrous, margins thickened, usually recurved; stipules c. cordate, to 1.6 mm long, red or black. Male flowers 2–3 per axil, pedicels 0.6–1.8 mm long; sepals 0.7–2.1 mm long, white to yellow, often abaxially hairy; disc 0.9–1.7 mm wide; stamen filaments connate at base, 0.5–1.2 mm long. Female flowers 1–2 per axil; pedicels 0.8–4 mm long; sepals 1.1–3.5 mm long, white, yellow or green; disc 1.3–3.1 mm wide; styles variously divided, to 1.6 mm long. Capsule, transversely ellipsoid, apically depressed, 0.6–3 mm long, 2.4–4.2 mm wide, glabrous to puberulous; seeds yellow-brown to pallid-brown or black, 1.2–2.4 mm long, scalariform. Flowers all year."," dioecious shrub to 50(–120) cm high; ",,,"shrub","shrub",,,"dioecious","dioecious",,
"Austrostipa pubinodis","Tufted, shortly rhizomatous perennial, culms erect, to 1.3 m high, nodes pubescent. Leaves usually glabrous, sometimes scabrous, rarely pubescent; blade inrolled to involute, to 30 cm long and 1 mm diam., rarely loosely inrolled and to 3 mm broad; ligule ciliate 0.5–2 mm long. Inflorescence an open or loosely contracted panicle to 25 cm long, often appearing one-sided. Glumes 16–29 mm long, purplish or green, acute, the lower 3–7 mm longer than upper; lemma 9.5–13 mm long, brown at maturity, finely granular, with appressed, white to tawny hairs on the lower half; callus 2.5–3.5 mm long; awn twice bent, 55–95 mm long, 25–50 mm to the first bend, column scabrous with hairs less than 0.2 mm long; palea about equal to lemma, glabrous. Flowers Sep.–Nov."," tufted, shortly rhizomatous perennial, culms erect, to 1.3 m high, nodes pubescent. ","perennial","perennial",,,,,,,"erect rhizomatous","erect rhizomatous"
"Ophioglossum","Rhizome erect or prostrate, unbranched, glabrous. Lamina of frond simple, entire, more or less fleshy, glabrous, with netted venation, erect, spreading or pendulous; subtended by stipe. Fertile spike arising from sterile lamina or below, stalk fleshy. Sporangia in 2 rows, embedded in spike, opening by transverse slits.","  ",,,,,,,,,,
"Bursaria","Shrubs or small trees, often spinescent. Leaves alternate, sometimes clustered, entire or shallowly toothed, sometimes emarginate. Inflorescence a terminal panicle or raceme (rarely reduced to a single flower); sepals free, often caducous; petals free, narrowly oblong or obovate, spreading, subequal to stamens; stamens free, anthers shorter than filaments, opening by 2 longitudinal slits. Fruit a flattened broadly obovoid to orbicular, 2-valved capsule, opening apically and along the midline; seeds few to several, flattish, reniform."," shrubs or small trees, often spinescent. ",,,"shrub tree","shrubs trees",,,,,,
"Cymodoceaceae","Marine, perennial, submerged herbs, dioecious; rhizomes well differentiated, creeping; branches slender. Leaves alternate, distichous, sessile; lamina narrowly oblong to linear or terete and subulate, base sheathing with auricles present; scales present in each leaf axil. Inflorescence 1-flowered or several-flowered and cymose. Flowers small, unisexual; perianth absent. Male flowers with 2 stamens united along their length to form a single anther mass; pollen filamentous. Female flowers surrounded basally by 1–few hyaline bracts; carpels (1–)2, free, each with 2 whorls of small pericarpic lobes and a simple style terminating in 2 or 3 filiform stigmas. Fruit small, hard, 1-seeded and indehiscent (only 1 carpel develops); seed with endosperm absent."," marine, perennial, submerged herbs, dioecious; ","perennial","perennial","herb","herbs","aquatic","submerged marine","dioecious","dioecious","submerged","submerged"
"Argentina anserina","Stoloniferous perennial herb, to 30 cm high; stems reddish-brown with spreading white hairs. Leaves in basal rosette, imparipinnate, 5–25 cm long; leaflets 7–21, alternate along rhachis, oblong to ovate, 0.5–3.5 cm long, 3–15 mm wide, hairy on both surfaces, densely silvery-hairy below, margins toothed; petiole with spreading pale hairs; stipules 1–1.5 cm long, brown, papery. Flowers solitary, axillary, on peduncles 5–30 cm long, equal to or longer than leaves. Epicalyx lobes narrowly triangular, c. 0.5 cm long, silvery-hairy on outer surface; sepals lanceolate, as long as epicalyx lobes, silvery-hairy; petals yellow, obovate, c. 1 cm long. Fruit enclosed by epicalyx and sepals, c. 1 cm wide. Flowers Nov.–Mar."," stoloniferous perennial herb, to 30 cm high; ","perennial","perennial","herb","herb",,,,,"stoloniferous","stoloniferous"
"Eupomatiaceae","Small glabrous, aromatic trees or shrubs sometimes with tuberous roots (not Victoria); branchlets zigzag. Leaves alternate, distichous, simple, entire, oil dots numerous, minute; stipules absent. Flowers terminal, often on short axillary shoots, solitary or 2 or 3 together, regular, bisexual; sepals and petals not differentiated; perianth cap-like (a conical deciduous calyptra); stamens numerous, spirally arranged in 2–3 rows near the rim of the receptacle, surrounding several rows of petaloid staminodes; carpels numerous, unsealed, immersed in the receptacle; 2–several ovules per carpel; styles absent, stigma feathery, sessile. Aggregate fruit, berry-like, true fruits 1- or 2-seeded achenes surrounded by the enlarged receptacle; seeds numerous, angular, with a small embryo and copious endosperm."," small glabrous, aromatic trees or shrubs sometimes with tuberous roots (); ",,,"shrub tree","shrubs trees",,,,,,
"Lupinus polyphyllus","Erect perennial herb to 1.5 m tall; stems usually unbranched, minutely pubescent to glabrescent. Leaves palmately 9–17-foliolate; petioles to 25 cm long, sparsely appressed-pubescent; leaflets narrowly elliptic to oblanceolate, 3–15 cm long, 10–30 mm wide, upper surface usually glabrous, lower surface sparsely appressed-pubescent, apex obtuse to acute, usually mucronate; stipules subulate, 15–35 mm long. Inflorescences 15–60 cm long; peduncle up to 15 cm long, lower flowers alternate, upper flowers subverticillate; pedicles 5–14 mm long; bracteoles minute. Calyx 5–10 mm long, densely hairy, upper lip entire or shallowly 2-lobed, lower lip longer, entire; corolla 12–20 mm long, mostly blue, purple or pink, sometimes yellow or white. Pod 25–40 mm long, 6–12 mm wide, sessile, densely villous; seeds 5–10, ellipsoid, c. 4 mm long, brown, mottled. Flowers summer"," erect perennial herb to 1.5 m tall; ","perennial","perennial","herb","herb",,,,,"erect","erect"
"Dicentra","Glabrous annual or perennial herbs with rhizomes, taproots, tubers or bulbets; stems usually erect, or scrambling. Leaves basal or cauline, 1–4-pinnate. Inflorescence an axillary, leaf opposed or terminal raceme, panicle or cyme, or solitary flower. Pedicles long, subtended by a bract; bracteoles usually present. Flowers disymetric (with 2 distinct planes of symmetry); sepals 2, caducous; petals 4, connate, in 2 series, the outer 2 petals enlarged, sometimes basally spurred, the inner 2 petals clawed, ± spathulate; style persistent, stigma 2-lobed. Fruit a dehiscent or indehiscent capsule; seeds few–many."," glabrous annual or perennial herbs with rhizomes, taproots, tubers or bulbets; ","annual perennial","annual perennial","herb","herbs",,,,,"rhizomatous","rhizomes"
"Sinapis arvensis","Annual. Stems erect, 30–80 cm high, herbaceous, simple or branched, usually bristly, sometimes glabrous. Leaves to 20 cm long; basal leaves petiolate, pinnate to pinnately lobed, terminal lobe ovate, elliptic or obovate, irregularly toothed; upper stem leaves smaller, shortly petiolate to sessile above, ovate to lanceolate, sometimes with pair of small lobes at base, irregularly toothed. Sepals inclined, spreading or reflexed, 4–7 mm long; petals 9–12 mm long. Fruit spreading, 2–6 cm long (including beak), 2–4 mm wide, terete; valves usually constricted between seeds; beak 7–16 mm long, with 1 seed or seedless; pedicel 3–24 mm long, thick; seeds 1–2 mm wide, red-brown to black. Flowers Sep.–Feb."," annual. ","annual","annual",,,,,,,,
"Rytidosperma longifolium","Tufted perennial. Culms to 1 m high, mostly 4–7-noded, occasionally producing leafy tufts from nodes. Leaves glabrous; blade flat or channelled near base, typically finely inrolled and flexuose above, to 40 cm long and 2 mm wide. Panicle linear to narrow-lanceolate in outline, 5–15 cm long, the base often remaining enclosed by upper sheath. Spikelets rarely purplish, mostly 4–6-flowered; glumes subequal, narrow, acuminate, 8–13 mm long; lemma 2–3 mm long, more or less evenly covered by hairs 0.5–1.2 mm long, with a conspicuously longer upper series c. 3 mm long; lateral lobes erect, 5–7 mm long, exceeding the upper series of hairs by 2–4 mm, tapered gradually into the 2–3 mm long setiform tips; central awn very fine, pale and weakly twisted at base, exceeding lateral lobes by 2–6 mm; palea lanceolate, exceeding sinus by 1–2 mm. Flowers Sep.–Jan"," tufted perennial. ","perennial","perennial",,,,,,,,
"Deyeuxia carinata","Tufted or rhizomatous, glabrous perennial, culms erect, to 40(–90) cm high. Leaf-blades slightly scabrous, flat or folded, to 10 cm long and c. 5 mm wide, rather stiff, keeled at the apex with a thickened, incurved point, green; ligules obtuse, 2–6 mm long. Inflorescence a dense, cylindric panicle, 4–10(–15) cm long. Spikelets 4–6 mm long, usually purplish; glumes equal and acute, or the upper slightly longer and acuminate, keeled, scabrous along the keel; lemma slightly shorter than spikelet, acute to obtuse, sometimes bifid at apex, scabrous in the upper part, usually smooth and shining near base, awned from a little above midway; awn about as long as lemma, twisted near base; callus hairs c. 1 mm long; rachilla bristle glabrous to sparsely hairy, c. 0.5–1 mm long. Flowers Dec.–Mar."," tufted or rhizomatous, glabrous perennial, culms erect, to 40(–90) cm high. ","perennial","perennial",,,,,,,"erect rhizomatous","erect rhizomatous"
"Kippistia","Perennial low shrubs, aromatic. Leaves alternate, sessile, linear, entire. Capitula solitary, terminal, shortly pedunculate; involucral bracts in 2–3 series; ray florets shortly ligulate, yellow, female (sometimes sterile), in 2–5 series; style branches glabrous, terete; disc florets bisexual or functionally male, 3–10-seriate, corolla 5(rarely 4)-lobed, yellow; anthers obtuse at base, with a short, acute, membranous terminal appendage; style branches semi-terete, papillose. Cypselas of ray florets c. cylindric, narrowed toward base, smooth or weakly ribbed, glabrous; pappus bristles in a single series, free or partly fused, barbellate; cypselas of disc florets cylindric, pithy; pappus a fimbriate collar of fused bristles, sometimes with a few longer bristles."," perennial low shrubs, aromatic. ","perennial","perennial","shrub","shrubs",,,,,,
"Philotheca angustifolia subsp. angustifolia","Leaves c. terete, 2–10 mm long, under 1 mm wide, upper surface with a medial furrow, lower surface rounded; petals minutely pilose within. Flowers mostly Sep.–Oct.","  ",,,,,,,,,,
"Euphorbia platyphyllos","Erect or ascending annual herb 15–110 cm high, glabrous or pubescent; stems few, each usually with 5 fertile branches which are further branched. Cauline leaves sessile, alternate, obovate- to oblong-lanceolate, 10–60 mm long, 3–15 mm wide, apex acute, mucronate, base deeply cordate, margins finely and minutely serrate; leaves on fertile branches elliptic-oblong to triangular, to 30 mm long, to 15 mm wide. Cyathia 1 or 2 in uppermost axils or 2 or 3 terminally; peduncles to c. 1 mm long; involucre campanulate, c. 1.5 mm long; glands suborbicular, c. 0.5 mm long, entire; female flowers with styles apically divided into 2 filiform stigmas. Capsule subglobose, 2–3 mm diam., covered with hemispherical tubercles; seeds subglobose, c. 2 mm long, smooth, olive-brown, caruncle reniform, very small. Flowers spring and summer."," erect or ascending annual herb 15–110 cm high, glabrous or pubescent; ","annual","annual","herb","herb",,,,,"erect decumbent","erect ascending"
